(ORD,12449332)
(ATL,11540375)
(DFW,10799270)
(LAX,7723573)
(PHX,6585521)
(DEN,6273778)
(DTW,5636614)
(IAH,5480723)
(MSP,5199207)
(SFO,5171018)
...


│cqlsh:cloudcourse> select * from cloudcourse.g1q1;

 airport | flights
---------+---------
     EUG |  139367
     MQT |   10847
     ACK |    3633
     LCH |   15793
     GST |    3571
     CIC |   14105
     SCK |    6492
     GCN |   11215
     ERI |   55521
     SAT | 1523775
     PSP |  278347
     TYS |  381176
     TYR |   37284
     JNU |  167763
     TOL |  111879
     FLO |    9888
     AKN |   11386
     PBI | 1005985
     PHF |   84477
     SUX |   34435
     MKG |     788
     ABI |   39323
     STT |  112654
     ICT |  398163
     RAP |  101794
     FNT |  107343
     HNL |  974186
     ITO |   68303
     AUS | 1511782
     MOD |   23336
     PUB |   12853
     LEX |  249460
     SOP |     636
     TWF |   24235
     SDF |  872529
     MKE |  842610
     SWF |  110161
     WYS |    3249
     CAE |  321309
     ADK |    1148
     OKC |  909127
     MAF |  294807
     CDC |    7397
     AGS |  102541
     BTR |  284858
     SKA |       1
     SLC | 3815103
     DLG |    9273
     GRR |  455854
     CVG | 3684608
     LBF |       1
     ABY |   15678
     BDL | 1221538
     DBQ |   18654
     FAY |   84822
     PNS |  297985
     SAN | 2908515
     KSM |     882
     OMA |  765623
     FMN |       8
     ORH |   26870
     KOA |  147652
     BFL |   70886
     HHH |    3547
     RKS |    1194
     GTF |  115689
     HVN |   14260
     SCC |   21798
     ALB |  551503
     ACT |   38339
     LYH |   17856
     CRW |  116938
     MFR |  105530
  Origin |     240
     ISP |  293444
     HTS |   33393
     SMX |   22689
     BTV |  210310
     ADQ |   19362
     BGM |   51033
     SCE |   12908
     DSM |  419140
     IYK |   11882
     EAU |    3646
     RDU | 1947963
     MCI | 2207278
     FSD |  195130
     IND | 1559856
     CMX |    1059
     SBN |  125917
     MCO | 3721844
     EGE |   46349
     GSP |  382481
     DUT |   11589
     MRY |  128873
     RFD |    3142
     STL | 5125331
     EWR | 5136967
     FAI |  187332
     MIB |     178

(100 rows)
