cqlsh> SELECT * FROM cloudcourse.g2q2 where origin = 'SRQ';

 origin | dest | delay
--------+------+----------
    SRQ |  FLL |        2
    SRQ |  DTW |  5.07471
    SRQ |  BOS | 16.76654
    SRQ |  IND |  4.74042
    SRQ |  DCA |  4.95735
    SRQ |  PIT |  5.45947
    SRQ |  PHL |  6.97854
    SRQ |  EYW |        0
    SRQ |  IAH |  1.44456
    SRQ |  MEM |  1.70296
    SRQ |  BWI |  3.75694
    SRQ |  STL |  5.22533
    SRQ |  JFK | 19.91667
    SRQ |  CLT |  3.35836
    SRQ |  DFW |  5.66667
    SRQ |  PBI |  5.49085
    SRQ |  CLE |  3.44477
    SRQ |  MCO |  2.36454
    SRQ |  IAD |  6.35448
    SRQ |  BNA |  2.06231
    SRQ |  EWR | 10.13338
    SRQ |  ORD |  7.97363
    SRQ |  MDW |  2.83812
    SRQ |  MSP |  3.97143
    SRQ |  CVG |  7.98773
    SRQ |  MIA |  6.26224
    SRQ |  RDU |   2.5354
    SRQ |  CMH |       80
    SRQ |  TPA |  1.32885
    SRQ |  LGA |  7.69691
    SRQ |  ATL |  5.93946
    SRQ |  BDL |       95
    SRQ |  RSW |  3.87473

(33 rows)
cqlsh> SELECT * FROM cloudcourse.g2q2 where origin = 'CMH';

 origin | dest | delay
--------+------+----------
    CMH |  SYR |       -5
    CMH |  JFK | 15.46501
    CMH |  ROC |      127
    CMH |  DAY |  4.69586
    CMH |  AUS |       -5
    CMH |  SLC |  3.93929
    CMH |  SBN |       28
    CMH |  DEN |  6.51728
    CMH |  EWR | 13.90565
    CMH |  IAD |   4.1581
    CMH |  ATL |  5.24082
    CMH |  IND |  4.80056
    CMH |  BWI |  7.98155
    CMH |  DTW |  4.38331
    CMH |  PIT |  5.44881
    CMH |  ALB |        8
    CMH |  ICT |       18
    CMH |  MSP |  4.39561
    CMH |  BOS | 12.25581
    CMH |  PBI | 14.59732
    CMH |  RDU |  6.53016
    CMH |  MEM |  4.15202
    CMH |  LGA | 10.13803
    CMH |  ORD | 10.03165
    CMH |  CLE |  1.10499
    CMH |  GRB |      195
    CMH |  MDW |  9.14759
    CMH |  LAS | 11.71209
    CMH |  GRR |       40
    CMH |  RSW |  7.99204
    CMH |  MIA | 11.28516
    CMH |  STL |  6.64164
    CMH |  BDL | 17.47783
    CMH |  CLT |  4.44797
    CMH |  DFW |  4.20415
    CMH |  DCA |  6.18596
    CMH |  PHX | 10.39663
    CMH |  SDF |  1.35294
    CMH |  CVG |  5.12989
    CMH |  MSN |        1
    CMH |  IAH |   4.5807
    CMH |  BNA |  4.44113
    CMH |  MCO |  5.85376
    CMH |  LAX | 11.02925
    CMH |  FLL | 13.03309
    CMH |  OMA |       -5
    CMH |  CAK |  3.70039
    CMH |  MKE |   5.5685
    CMH |  PHL |  8.31742
    CMH |  TPA |  6.29151
    CMH |  MCI |  8.07611

(51 rows)
cqlsh> SELECT * FROM cloudcourse.g2q2 where origin = 'JFK';

 origin | dest | delay
--------+------+----------
    JFK |  PIT | 14.09851
